id,equation,family,type,depth,consume,threshold_eV,electron_energy_cost_eV,rate_value,rate_unit,rate_basis,reverse_rate,frequency_upper_bound_s-1,relevance,delta_g_eV,status,source
SF3_O_R134,SF3 + O -> SOF3,neutral_neutral,reactive_scattering,1,rate_coefficient,,,1e-16,m3/s,dataset,,72429.70516039919,fast,,literature_supported,"A. Pateau et al., Journal of Vacuum Science & Technology A 32, 021303 (2014)."
SF3_O1D_R119,SF3 + O_1D -> SOF2 + F,neutral_neutral,reactive_scattering,1,rate_coefficient,,,1.9999999999999998e-17,m3/s,dataset,,14485.941032079838,fast,-4.115445096296974,literature_supported,"A. Pateau et al., Journal of Vacuum Science & Technology A 32, 021303 (2014)."
SF3_O1D_R134,SF3 + O_1D -> SOF3,neutral_neutral,reactive_scattering,1,rate_coefficient,,,1e-16,m3/s,dataset,,72429.70516039919,fast,,literature_supported,"A. Pateau et al., Journal of Vacuum Science & Technology A 32, 021303 (2014)."
SF3_SF3_to_SF2_SF4,SF3 + SF3 -> SF2 + SF4,neutral_neutral,reactive_scattering,1,rate_coefficient,,,2.5e-17,m3/s,dataset,,18107.426290099796,fast,-0.4943148429876641,literature_supported,"A. Pateau et al., Journal of Vacuum Science & Technology A 32, 021303 (2014)."
SF4_F2_to_SF5_F,SF4 + F2 -> SF5 + F,neutral_neutral,reactive_scattering,1,rate_coefficient,,,6.999999999999999e-21,m3/s,dataset,,5.0700793612279424,comparable,-0.526893265648391,literature_supported,"A. Pateau et al., Journal of Vacuum Science & Technology A 32, 021303 (2014)."
SF4_O_R133,SF4 + O -> SOF4,neutral_neutral,reactive_scattering,1,rate_coefficient,,,1e-20,m3/s,dataset,,7.242970516039919,comparable,,literature_supported,"A. Pateau et al., Journal of Vacuum Science & Technology A 32, 021303 (2014)."
SF4_O1D_R133,SF4 + O_1D -> SOF4,neutral_neutral,reactive_scattering,1,rate_coefficient,,,1e-20,m3/s,dataset,,7.242970516039919,comparable,,literature_supported,"A. Pateau et al., Journal of Vacuum Science & Technology A 32, 021303 (2014)."
SF5_F2_to_SF6_F,SF5 + F2 -> SF6 + F,neutral_neutral,reactive_scattering,1,rate_coefficient,,,6.999999999999999e-21,m3/s,dataset,,5.0700793612279424,comparable,-2.1782771482569436,literature_supported,"A. Pateau et al., Journal of Vacuum Science & Technology A 32, 021303 (2014)."
SF5_O_R132,SF5 + O -> SOF4 + F,neutral_neutral,reactive_scattering,1,rate_coefficient,,,9.999999999999999e-19,m3/s,dataset,,724.2970516039918,fast,,literature_supported,"A. Pateau et al., Journal of Vacuum Science & Technology A 32, 021303 (2014)."
SF5_O1D_R132,SF5 + O_1D -> SOF4 + F,neutral_neutral,reactive_scattering,1,rate_coefficient,,,9.999999999999999e-19,m3/s,dataset,,724.2970516039918,fast,,literature_supported,"A. Pateau et al., Journal of Vacuum Science & Technology A 32, 021303 (2014)."
SF5_SF5_to_SF4_SF6,SF5 + SF5 -> SF4 + SF6,neutral_neutral,reactive_scattering,1,rate_coefficient,,,2.5e-17,m3/s,dataset,,18107.426290099796,fast,-1.6513838826085525,literature_supported,"A. Pateau et al., Journal of Vacuum Science & Technology A 32, 021303 (2014)."
cand_e_F_to_e_F*,e + F -> e + F*,electron,excitation,1,cross_section,,,,,,,,unknown,,candidate,conservation allows this channel; no source has been consulted
