reactants,products,id,family,type,depth,status,verdict,decided
e + O2_v,e + O + O,cand_e_O2_v_to_e_O_O,electron,dissociation,1,candidate,unknown,no
e + O2_v,e + e + O+ + O,cand_e_O2_v_to_e_e_Op_O,electron,dissociative_ionization,1,candidate,unknown,no
e + O2_v,e + O2_v,cand_e_O2_v_to_e_O2_v,electron,elastic,1,candidate,unknown,no
e + O2_v,e + e + O2+,cand_e_O2_v_to_e_e_O2p,electron,ionization,1,candidate,unknown,no
e + O_1D,e + O,e_O_1D_superelastic,electron,deexcitation,1,literature_supported,unknown,no
e + O_1D,e + O_1D,e_O_1D_elastic,electron,elastic,1,literature_supported,unknown,no
e + O_1D,e + O+,e_O_1D_ionization,electron,ionization,1,literature_supported,unknown,no
e + O_1S,e + O,e_O_1S_superelastic,electron,deexcitation,1,literature_supported,unknown,no
e + O_1S,e + O_1S,e_O_1S_elastic,electron,elastic,1,literature_supported,unknown,no
e + O_1S,e + e + O+,cand_e_O_1S_to_e_e_Op,electron,ionization,1,candidate,unknown,no
e + S,e + S,cand_e_S_to_e_S,electron,elastic,2,candidate,unknown,no
e + S,e + S_1D,e_S_excitation_S_1D,electron,excitation,2,literature_supported,unknown,no
e + S,e + S_1S,e_S_excitation_S_1S,electron,excitation,2,literature_supported,unknown,no
e + S,e + S+,e_S_ionization_Sp,electron,ionization,2,literature_supported,unknown,no
e + SF,e + S + F,e_SF_dissociation_S_F,electron,dissociation,1,literature_supported,unknown,no
e + SF,e + e + F+ + S,cand_e_SF_to_e_e_Fp_S,electron,dissociative_ionization,1,candidate,unknown,no
e + SF,e + SF,cand_e_SF_to_e_SF,electron,elastic,1,candidate,unknown,no
e + SF,e + SF*,cand_e_SF_to_e_SF*,electron,excitation,1,candidate,unknown,no
e + SF,e + SF_v,cand_e_SF_to_e_SF_v,electron,excitation,1,candidate,unknown,no
e + SF,e + SF+,e_SF_ionization_SFp,electron,ionization,1,literature_supported,unknown,no
e + SF*,e + SF,cand_e_SF*_to_e_SF,electron,deexcitation,1,candidate,unknown,no
e + SF*,e + F + S,cand_e_SF*_to_e_F_S,electron,dissociation,2,candidate,unknown,no
e + SF*,e + e + F+ + S,cand_e_SF*_to_e_e_Fp_S,electron,dissociative_ionization,2,candidate,unknown,no
e + SF*,e + SF*,cand_e_SF*_to_e_SF*,electron,elastic,2,candidate,unknown,no
e + SF*,e + e + SF+,cand_e_SF*_to_e_e_SFp,electron,ionization,2,candidate,unknown,no
e + SF2,e + F2 + S_1D,cand_SF2_diss_S_1D,electron,dissociation,1,candidate,unknown,no
e + SF2,e + F2 + S_1S,cand_SF2_diss_S_1S,electron,dissociation,1,candidate,unknown,no
e + SF2,e + S + F2,cand_e_SF2_to_e_S_F2,electron,dissociation,1,candidate,unknown,no
e + SF2,e + SF + F,e_SF2_dissociation_SF_F,electron,dissociation,1,literature_supported,unknown,no
e + SF2,e + e + SF+ + F,cand_e_SF2_to_e_e_SFp_F,electron,dissociative_ionization,1,candidate,unknown,no
e + SF2,e + e + S+ + F2,cand_e_SF2_to_e_e_Sp_F2,electron,dissociative_ionization,1,candidate,unknown,no
e + SF2,e + SF2,cand_e_SF2_to_e_SF2,electron,elastic,1,candidate,unknown,no
e + SF2,e + SF2*,cand_e_SF2_to_e_SF2*,electron,excitation,1,candidate,unknown,no
e + SF2,e + SF2_v,cand_e_SF2_to_e_SF2_v,electron,excitation,1,candidate,unknown,no
e + SF2,e + SF2+,e_SF2_ionization_SF2p,electron,ionization,1,literature_supported,unknown,no
e + SF2*,e + SF2,cand_e_SF2*_to_e_SF2,electron,deexcitation,1,candidate,unknown,no
e + SF2*,e + SF + F,cand_e_SF2*_to_e_SF_F,electron,dissociation,2,candidate,unknown,no
e + SF2*,e + S + F2,cand_e_SF2*_to_e_S_F2,electron,dissociation,2,candidate,unknown,no
e + SF2*,e + e + SF+ + F,cand_e_SF2*_to_e_e_SFp_F,electron,dissociative_ionization,2,candidate,unknown,no
e + SF2*,e + e + S+ + F2,cand_e_SF2*_to_e_e_Sp_F2,electron,dissociative_ionization,2,candidate,unknown,no
e + SF2*,e + SF2*,cand_e_SF2*_to_e_SF2*,electron,elastic,2,candidate,unknown,no
