candidate,reaction_type,verdict,reason,id
e + SF5- -> SF5- + e,Electron elastic scattering,pass,reaction is stoichiometrically and electrically consistent,rxn_5e1cc61882e5
e + SF6(v) -> SF6(v) + e,Electron elastic scattering,pass,reaction is stoichiometrically and electrically consistent,rxn_6fa58093c6db
e + SF6* -> SF6* + e,Electron elastic scattering,pass,reaction is stoichiometrically and electrically consistent,rxn_c42cd3c1a672
e + SF6+ -> SF6+ + e,Electron elastic scattering,pass,reaction is stoichiometrically and electrically consistent,rxn_9613d375153a
e + SF6- -> SF6- + e,Electron elastic scattering,pass,reaction is stoichiometrically and electrically consistent,rxn_a86ee86e5656
e + Ar(m) -> Ar+ + 2 e,Electron-impact ionization,pass,reaction is stoichiometrically and electrically consistent,rxn_dff2bd46b5c5
e + Ar(r) -> Ar+ + 2 e,Electron-impact ionization,pass,reaction is stoichiometrically and electrically consistent,rxn_5ccce802fea8
e + F -> F+ + 2 e,Electron-impact ionization,pass,reaction is stoichiometrically and electrically consistent,rxn_0ac0463c2879
e + F2 -> F2+ + 2 e,Electron-impact ionization,pass,reaction is stoichiometrically and electrically consistent,rxn_209315ead1fb
e + O -> O+ + 2 e,Electron-impact ionization,pass,reaction is stoichiometrically and electrically consistent,rxn_02b625c9d811
e + O2(v) -> O2+ + 2 e,Electron-impact ionization,pass,reaction is stoichiometrically and electrically consistent,rxn_2400ffdfb3a5
e + O2* -> O2+ + 2 e,Electron-impact ionization,pass,reaction is stoichiometrically and electrically consistent,rxn_1367abd723f8
e + SF4 -> SF4+ + 2 e,Electron-impact ionization,pass,reaction is stoichiometrically and electrically consistent,rxn_81b72c4107a5
e + SF5 -> SF5+ + 2 e,Electron-impact ionization,pass,reaction is stoichiometrically and electrically consistent,rxn_cd8ddb1dd16e
e + SF6(v) -> SF6+ + 2 e,Electron-impact ionization,pass,reaction is stoichiometrically and electrically consistent,rxn_a2095b8900f0
e + SF6* -> SF6+ + 2 e,Electron-impact ionization,pass,reaction is stoichiometrically and electrically consistent,rxn_c805ccf5f0e9
e + Ar+ -> Ar,Electron-ion recombination,pass,reaction is stoichiometrically and electrically consistent,rxn_b9b97c9cedf9
e + O+ -> O,Electron-ion recombination,pass,reaction is stoichiometrically and electrically consistent,rxn_a065d9985ac4
e + O2+ -> O2,Electron-ion recombination,pass,reaction is stoichiometrically and electrically consistent,rxn_fe3ef2a625bf
e + SF4+ -> SF4,Electron-ion recombination,pass,reaction is stoichiometrically and electrically consistent,rxn_f906559f20b2
e + SF5+ -> SF5,Electron-ion recombination,pass,reaction is stoichiometrically and electrically consistent,rxn_f9ccaf67990c
e + SF6+ -> SF6,Electron-ion recombination,pass,reaction is stoichiometrically and electrically consistent,rxn_0f4c5d05bc62
e + O2F -> O2F-,Electron attachment,pass,reaction is stoichiometrically and electrically consistent,rxn_33999e0123a8
e + OF -> OF-,Electron attachment,pass,reaction is stoichiometrically and electrically consistent,rxn_d5f8b6a0240c
e + SF2 -> SF2-,Electron attachment,pass,reaction is stoichiometrically and electrically consistent,rxn_ba019a9da859
e + SF3 -> SF3-,Electron attachment,pass,reaction is stoichiometrically and electrically consistent,rxn_b68a571eebe7
e + SOF5 -> SOF5-,Electron attachment,pass,reaction is stoichiometrically and electrically consistent,rxn_69e451e38c8b
e + O2F- -> O2F + 2 e,Electron-impact detachment,pass,reaction is stoichiometrically and electrically consistent,rxn_906b3940de46
e + OF- -> OF + 2 e,Electron-impact detachment,pass,reaction is stoichiometrically and electrically consistent,rxn_28c6d07ba7da
e + SF2- -> SF2 + 2 e,Electron-impact detachment,pass,reaction is stoichiometrically and electrically consistent,rxn_ecde06ecb190
e + SF3- -> SF3 + 2 e,Electron-impact detachment,pass,reaction is stoichiometrically and electrically consistent,rxn_3bc614d41589
e + SOF3- -> SOF3 + 2 e,Electron-impact detachment,pass,reaction is stoichiometrically and electrically consistent,rxn_a832e0afa8bb
e + SOF4- -> SOF4 + 2 e,Electron-impact detachment,pass,reaction is stoichiometrically and electrically consistent,rxn_210ea159223f
e + SOF5- -> SOF5 + 2 e,Electron-impact detachment,pass,reaction is stoichiometrically and electrically consistent,rxn_796488d6f8f6
e + O2F -> F + O2 + e,Electron-impact dissociation,pass,reaction is stoichiometrically and electrically consistent,rxn_1dbb548357d4
e + O2F -> O + OF + e,Electron-impact dissociation,pass,reaction is stoichiometrically and electrically consistent,rxn_741242275bc2
e + OF -> F + O + e,Electron-impact dissociation,pass,reaction is stoichiometrically and electrically consistent,rxn_e83a63fdd1b3
e + SF2 -> F + SF + e,Electron-impact dissociation,pass,reaction is stoichiometrically and electrically consistent,rxn_99a9d7a397b1
e + SF2 -> S + F2 + e,Electron-impact dissociation,pass,reaction is stoichiometrically and electrically consistent,rxn_dc916a51e341
e + SF3 -> F + SF2 + e,Electron-impact dissociation,pass,reaction is stoichiometrically and electrically consistent,rxn_d4ae67d3f229
e + SF3 -> SF + F2 + e,Electron-impact dissociation,pass,reaction is stoichiometrically and electrically consistent,rxn_87644633a3bd
e + O2F -> F- + O2,Dissociative electron attachment,pass,reaction is stoichiometrically and electrically consistent,rxn_73521090a762
e + O2F -> O- + OF,Dissociative electron attachment,pass,reaction is stoichiometrically and electrically consistent,rxn_553b18687e88
e + O2F -> O2- + F,Dissociative electron attachment,pass,reaction is stoichiometrically and electrically consistent,rxn_6f7e30cf734d
e + O2F -> OF- + O,Dissociative electron attachment,pass,reaction is stoichiometrically and electrically consistent,rxn_7f7c9607f04f
e + OF -> F- + O,Dissociative electron attachment,pass,reaction is stoichiometrically and electrically consistent,rxn_eb8f504704e4
e + OF -> O- + F,Dissociative electron attachment,pass,reaction is stoichiometrically and electrically consistent,rxn_2a8f8fba7eff
e + SF2 -> F- + SF,Dissociative electron attachment,pass,reaction is stoichiometrically and electrically consistent,rxn_d159a8b5f2ad
e + SF2 -> F2- + S,Dissociative electron attachment,pass,reaction is stoichiometrically and electrically consistent,rxn_b22936120faf
e + SF2 -> S- + F2,Dissociative electron attachment,pass,reaction is stoichiometrically and electrically consistent,rxn_31f4c5440ad9
e + SF2 -> SF- + F,Dissociative electron attachment,pass,reaction is stoichiometrically and electrically consistent,rxn_fc30c3bafa3b
e + SF3 -> F- + SF2,Dissociative electron attachment,pass,reaction is stoichiometrically and electrically consistent,rxn_5755b6ce2966
e + SF3 -> F2- + SF,Dissociative electron attachment,pass,reaction is stoichiometrically and electrically consistent,rxn_09340caa7945
e + SF3 -> SF- + F2,Dissociative electron attachment,pass,reaction is stoichiometrically and electrically consistent,rxn_80001d314636
e + SF3 -> SF2- + F,Dissociative electron attachment,pass,reaction is stoichiometrically and electrically consistent,rxn_c3840bdf8d78
e + ArF- -> Ar + F + 2 e,Dissociative electron detachment,pass,reaction is stoichiometrically and electrically consistent,rxn_4b92cf2ca31b
e + O2F -> F+ + O2 + 2 e,Dissociative ionization,pass,reaction is stoichiometrically and electrically consistent,rxn_1c12e9edc663
e + O2F -> OF+ + O + 2 e,Dissociative ionization,pass,reaction is stoichiometrically and electrically consistent,rxn_ef9b3963e1b5
e + OF -> O+ + F + 2 e,Dissociative ionization,pass,reaction is stoichiometrically and electrically consistent,rxn_b5442207f15e
e + SF2 -> S+ + F2 + 2 e,Dissociative ionization,pass,reaction is stoichiometrically and electrically consistent,rxn_69993710655b
e + SF2 -> SF+ + F + 2 e,Dissociative ionization,pass,reaction is stoichiometrically and electrically consistent,rxn_3edaa6c4acef
e + SF3 -> SF+ + F2 + 2 e,Dissociative ionization,pass,reaction is stoichiometrically and electrically consistent,rxn_386822735e5f
e + SF3 -> SF2+ + F + 2 e,Dissociative ionization,pass,reaction is stoichiometrically and electrically consistent,rxn_0867d297296c
e + ArF+ -> Ar + F,Dissociative recombination,pass,reaction is stoichiometrically and electrically consistent,rxn_da1d834a0e58
e + F2+ -> 2 F,Dissociative recombination,pass,reaction is stoichiometrically and electrically consistent,rxn_6d3db2467a2d
e + O2F+ -> F + O2,Dissociative recombination,pass,reaction is stoichiometrically and electrically consistent,rxn_b278321de98f
e + O2F+ -> O + OF,Dissociative recombination,pass,reaction is stoichiometrically and electrically consistent,rxn_033d9b930abb
e + OF+ -> F + O,Dissociative recombination,pass,reaction is stoichiometrically and electrically consistent,rxn_80af642379f0
e + SF2+ -> F + SF,Dissociative recombination,pass,reaction is stoichiometrically and electrically consistent,rxn_512cdf87464c
e + SF2+ -> S + F2,Dissociative recombination,pass,reaction is stoichiometrically and electrically consistent,rxn_5dd6c91fe4dd
e + SF3+ -> F + SF2,Dissociative recombination,pass,reaction is stoichiometrically and electrically consistent,rxn_f034533f2b60
e + SF3+ -> SF + F2,Dissociative recombination,pass,reaction is stoichiometrically and electrically consistent,rxn_4f2da9b08323
e + ArF+ -> ArF+ + e,Electron elastic scattering,pass,reaction is stoichiometrically and electrically consistent,rxn_59cc3e31b193
e + ArF- -> ArF- + e,Electron elastic scattering,pass,reaction is stoichiometrically and electrically consistent,rxn_4cf23051d253
e + F+ -> F+ + e,Electron elastic scattering,pass,reaction is stoichiometrically and electrically consistent,rxn_9d75d6b4d8bd
e + F2+ -> F2+ + e,Electron elastic scattering,pass,reaction is stoichiometrically and electrically consistent,rxn_45c367f6bfab
e + O2F -> O2F + e,Electron elastic scattering,pass,reaction is stoichiometrically and electrically consistent,rxn_363bda81d6b6
e + O2F+ -> O2F+ + e,Electron elastic scattering,pass,reaction is stoichiometrically and electrically consistent,rxn_217b03cedbba
e + O2F- -> O2F- + e,Electron elastic scattering,pass,reaction is stoichiometrically and electrically consistent,rxn_2eb1d1784583
e + OF -> OF + e,Electron elastic scattering,pass,reaction is stoichiometrically and electrically consistent,rxn_cc963afb82a3
e + OF+ -> OF+ + e,Electron elastic scattering,pass,reaction is stoichiometrically and electrically consistent,rxn_0e66b1db8eee
e + OF- -> OF- + e,Electron elastic scattering,pass,reaction is stoichiometrically and electrically consistent,rxn_30cc968963f8
e + SF2 -> SF2 + e,Electron elastic scattering,pass,reaction is stoichiometrically and electrically consistent,rxn_6e52b62aa3d3
